productid,Name,ProductPrice,ProductStyle,Fabric,Brand,FabricType,Silhouette,Season,Pattern,WashCase,ColorGroup,TotalSales,FirstMonthSale,SecondMonthSale,ThirdMonthSale
CL0089373,Obi belt cotton jersey wrap tunic,44.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Red,3,1,2,0
CL0090146,Obi belt cotton jersey wrap tunic,34.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Black,42,18,22,2
CL0093771,Contrast trim cotton jersey romper,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Red,1,0,0,1
CL0093797,Cotton jersey drawstring waist blouson dress,62.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Red,8,2,1,5
CL0093799,Asymmetric neck cotton jersey jumpsuit,59.95,Jumpsuit,Cotton Jersey Knit,eshakti,KNITS,,Fall Winter,,MACHINE WASH,Blue,2,0,1,1
CL0093814,Asymmetric neck cotton jersey jumpsuit,89.95,Jumpsuit,Cotton Jersey Knit,eshakti,KNITS,,Fall Winter,,MACHINE WASH,Red,4,3,1,0
CL0093825,Asymmetric neck cotton jersey jumpsuit,59.95,Jumpsuit,Cotton Jersey Knit,eshakti,KNITS,,Year-Round,,MACHINE WASH,Black,4,2,2,0
CL0093807,Contrast trim cotton jersey romper,89.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Navy,11,2,5,4
CL0093809,Contrast trim cotton jersey romper,42.95,Jumpsuit,Cotton Jersey Knit,Zapelle,KNITS,,,,MACHINE WASH,Black,6,2,3,1
CL0093790,Large button pocket cotton jersey dress,54.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Red,12,4,5,3
CL0093892,Large button pocket cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Purple,10,3,4,3
CL0094021,Large button pocket cotton jersey dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Green,9,2,4,3
CL0094029,Large button pocket cotton jersey dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Navy,12,1,5,6
CL0094027,Large button pocket cotton jersey dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Black,7,1,4,2
CL0094022,Large button pocket cotton jersey dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Red,6,2,4,0
CL0094023,Large button pocket cotton jersey dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Green,7,2,2,3
CL0094024,Large button pocket cotton jersey dress,56.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,4,4,0,0
CL0097657,Obi belt cotton jersey wrap tunic,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,,,MACHINE WASH,Black,12,0,0,12
CL0088281,Pleated floral print crepe maxi dress,82.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Off-white,4,0,4,0
CL0088963,Tie front floral print crepe top,74.95,Top,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,Spring Summer,,MACHINE WASH,Beige,4,2,0,2
CL0089058,Pleated ombre print crepe maxi dress,89.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,,MACHINE WASH,Green,4,2,0,2
CL0096024,Flannel check cotton hooded shirt,39.95,Top,Flannel,Zapelle,WOVEN,,Sale,,MACHINE WASH,Navy,7,6,1,0
CL0094306,Floral print sheer georgette blouse,74.95,Top,Georgette,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Yellow,6,3,2,1
CL0096623,Flared sleeve floral print georgette blouse,74.95,Top,Georgette,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,24,10,7,7
CL0084742,Linen cotton rib-knit surplice top,67.95,Top,Cotton Linen,Zapelle,KNITS,,Fall Winter,,Hand wash coldFlat Dry,Beige,2,1,0,1
CL0062675,Notch collar glen plaid coat style dress,114.95,Dress,Polyester Rayon,ZAPELLE,WOVEN,,Sale,,MACHINE WASH,Beige,7,7,0,0
CL0088290,Cotton jersey high-low hoodie tunic,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,15,4,4,7
CL0066359,Floral embellished deep indigo denim shirtdress,89.95,Denim Dress,Denim,WAYWARD FANCIES,WOVEN,,Fall Winter,,100% COTTON MACHINE WASH,Indigo,15,6,4,5
CL0066619,Floral wool embellished cotton denim shift dress,74.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,4,0,2,2
CL0066569,Vintage blue cotton denim shirtdress,69.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,4,1,3,0
CL0067595,Vintage blue cotton denim shirtdress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,63,23,21,19
CL0067810,Deep indigo cotton denim shirtdress,74.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,19,8,5,6
CL0068132,Vintage blue cotton denim shirtdress,79.95,Denim Dress,Denim,ZAPELLE,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,3,0,3,0
CL0068466,Cotton denim belted shift shirtdress,79.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,12,3,7,2
CL0068693,Zip front cotton denim shirtdress,81.95,Denim Dress,Denim,eShakti,WOVEN,,Fall Winter,,100% COTTON MACHINE WASH,Indigo,169,59,72,38
CL0069260,Vintage wash denim button front flared skirt,79.95,Denim Skirt,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,46,14,9,23
CL0057034,Mixed floral print pleated empire crepe dress,89.95,Dress,Polyester,ZAPELLE,WOVEN,,,,MACHINE WASH,Blue,5,0,4,1
CL0065498,Bird embellished poplin dress,69.95,Dress,Cotton Poplin,eShakti,WOVEN,Fit-and-flare,Year-Round,Whimsical,MACHINE WASH,Navy,97,24,36,37
CL0065502,Leafy vine embroidery poplin dress,99.95,Dress,Cotton Poplin,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,MACHINE WASH,White,11,6,4,1
CL0080028,Floral embroidered cotton poplin tunic,34.95,Top,Cotton Poplin,WAYWARD FANCIES,WOVEN,,Year-Round,,MACHINE WASH,Navy,49,14,7,28
CL0052691,Floral embellished sleeve cotton knit dress,89.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Black,9,4,3,2
CL0060255,Curved waist cotton jersey dress,79.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,18,8,5,5
CL0060257,Curved waist cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Green,4,1,1,2
CL0062568,Colorblock stripe cotton knit belted dress,84.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,Stripes,MACHINE WASH,Black,1,0,0,1
CL0063327,Polka dot embellished cotton knit and poplin dress,99.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,,MACHINE WASH,Black,7,3,3,1
CL0064687,Front metal zip cotton knit maxi dress,109.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,,,MACHINE WASH,Navy,31,13,7,11
CL0066951,Cutout back cotton jersey dress,79.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Red,13,2,4,7
CL0068228,Cutout back cotton knit dress,49.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Purple,40,5,20,15
CL0069063,Cotton knit cross banded waist jumpsuit,89.95,Jumpsuit,Cotton Jersey Knit,eshakti,KNITS,,Year-Round,,MACHINE WASH,Black,3,1,0,2
CL0069230,Fit-and-flare cotton knit dress,64.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Purple,28,5,18,5
CL0069292,Floral embroidered cotton knit smocked waist dress,104.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Navy,6,1,2,3
CL0090395,Curved waist cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,31,13,8,10
CL0096592,Abstract print mesh pleated sheath dress,52.95,Dress,Mesh,Zapelle,KNITS,Sheath,,Graphic,MACHINE WASH,Navy,1,1,0,0
CL0096597,Abstract print mesh pleated top,46.95,Top,Mesh,Zapelle,KNITS,,,,MACHINE WASH,Navy,1,1,0,0
CL0096650,Ruched abstract print mesh dress,89.95,Dress,Mesh,Zapelle,KNITS,Shift,,Graphic,MACHINE WASH,Blue,5,1,2,2
CL0096643,Abstract print mesh pleated empire sheath dress,89.95,Dress,Mesh,Zapelle,KNITS,Sheath,,Graphic,MACHINE WASH,Pink,8,3,2,3
CL0066063,Sash tie denim palazzo pants,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,5,3,2,0
CL0066065,Floral vine boot-cut jeans,109.95,Jeans,Denim,eshakti,WOVEN,,,,90%cotton/9%polyester/1%spandex machine wash,Indigo,5,0,4,1
CL0066089,Vintage wash denim crop jacket,79.95,Denim Jacket,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,5,1,2,2
CL0066090,Deep indigo denim crop jacket,74.95,Denim Jacket,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,11,6,3,2
CL0066354,Deep indigo denim button jumper dress,84.95,Denim Skirt,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,17,10,4,3
CL0066373,Notch collar denim jumper dress,79.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,14,7,6,1
CL0066543,Light indigo denim flare jeans,54.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Blue,7,1,0,6
CL0066546,Boot-cut light indigo denim jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Blue,15,7,7,1
CL0066547,Boot-cut medium blue denim jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90% cotton 7% polyamide 3% spandexmachine wash col,Blue,15,6,3,6
CL0066551,Light indigo denim skinny jeans,54.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Blue,5,0,3,2
CL0066552,Vintage wash denim flare jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,22,6,13,3
CL0066553,Medium blue denim flare jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Blue,6,1,2,3
CL0067098,Medium blue denim crop skinny jeans,79.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,13,7,6,0
CL0067224,Crop wide-leg jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,7,2,2,3
CL0067823,Vintage blue cotton denim palazzo pants,99.95,Jeans,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,53,27,17,9
CL0067957,Vintage blue cotton denim shirtdress,69.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,15,6,6,3
CL0067951,Vintage indigo cotton denim tunic,54.95,Denim Shirts,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,18,2,11,5
CL0068001,Vintage blue cotton denim shirtdress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,28,16,4,8
CL0068096,Contrast top-stitch cotton denim midi dress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,27,11,12,4
CL0068188,Light indigo denim midi wrap dress,74.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,7,4,2,1
CL0068378,Boot-cut black denim jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Black,12,3,6,3
CL0069327,Deep indigo cotton denim midi shirtdress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,43,21,11,11
CL0073958,Ruched cotton denim tiered dress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,20,9,5,6
CL0079494,High waist ankle skinny jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90% cotton 7% polyamide 3% spandexmachine wash col,Black,17,10,4,3
CL0090353,Cotton denim shift shirtdress,69.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,38,18,11,9
CL0090901,Front button cotton denim high waist jeans,59.95,Jeans,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,3,2,0,1
CL0090834,Cotton denim baggy wide leg jeans,99.95,Jeans,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,10,3,4,3
CL0090892,Ruffle handkerchief hem cotton denim trapeze dress,76.95,Denim Dress,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,7,1,3,3
CL0090952,Cotton denim peplum tunic shirt,79.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,39,12,17,10
CL0090898,Pleated cotton denim tunic shirt,59.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,65,40,18,7
CL0090993,Cotton denim oversized shirt,99.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,55,14,23,18
CL0091112,Pieced cotton denim A-line dress,79.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,56,15,26,15
CL0091077,Button front cotton denim jumpsuit,79.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,4,2,2,0
CL0091157,Distressed mom cotton jeans,67.95,Jeans,Denim,Zapelle,WOVEN,,Year-Round,,MACHINE WASH,Indigo,1,1,0,0
CL0091249,Notch neck surplice cotton denim jumpsuit,59.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,33,7,9,17
CL0091287,Medium indigo cotton denim shirt,79.95,Denim Shirts,Denim,Zapelle,WOVEN,,Year-Round,,MACHINE WASH,Indigo,3,2,1,0
CL0091288,High waist wide leg cotton denim jeans,59.95,Jeans,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,28,12,9,7
CL0091331,Button fly high waist cotton denim jeans,99.95,Jeans,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,18,6,4,8
CL0091251,Pieced cotton denim jumper,89.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,19,6,8,5
CL0091485,Cotton denim open front duster jacket,79.95,Denim Jacket,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,4,3,0,1
CL0091507,Pleat front wide leg cotton denim jeans,64.95,Jeans,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,2,1,1,0
CL0091530,Pleated cotton denim tunic shirt,119.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,7,5,1,1
CL0091529,Cotton denim button front duster jacket,79.95,Denim Jacket,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,13,3,5,5
CL0091682,Cotton denim A-line shirtdress,79.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,6,2,3,1
CL0091943,Zip front cotton denim jacket,84.95,Denim Jacket,Denim,Zapelle,WOVEN,,Year-Round,,MACHINE WASH,Indigo,10,5,4,1
CL0092923,Zip front herringbone cotton denim palazzo overall,69.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,10,5,2,3
CL0093171,Light herringbone cotton denim jumpsuit,79.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,4,3,1,0
CL0093324,Medium wash cotton denim flared jeans,99.95,Jeans,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,32,11,15,6
CL0094498,Medium wash denim bootcut jeans,67.95,Jeans,Denim,Zapelle,WOVEN,,Fall Winter,,73%Cotton 23%Polyester 4%Spandex,Indigo,64,23,25,16
CL0096211,Pintuck pleat cotton denim tunic shirt,79.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Black,13,6,4,3
CL0096452,Stretch cotton denim boot-cut jeans,62.95,Jeans,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Black,1,1,0,0
CL0096820,Faux-button front floral print cotton denim skirt,79.95,Denim Skirt,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,8,2,4,2
CL0096822,Faux-button front floral tile print cotton denim s,79.95,Denim Skirt,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Blue,10,6,2,2
CL0096849,Light herringbone cotton denim sash-tie shirtdress,59.95,Denim Dress,Denim,Zapelle,WOVEN,,,Stripes,MACHINE WASH,Indigo,7,3,3,1
CL0080644,Cross-strap cotton modal jersey top,32.95,Top,Modal,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Purple,4,1,2,1
CL0091946,Owl print sash waist blouse,39.95,Top,Rayon,WAYWARD FANCIES,WOVEN,,Spring Summer,,hand wash,White,5,5,0,0
CL0094455,Tile print smocked waist shirtdress,54.95,Dress,Rayon,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Graphic,hand wash,Black,4,4,0,0
CL0095743,Ruched rayon check peplum blouse,42.95,Top,Rayon,Zapelle,WOVEN,,Sale,,hand wash,Black,16,11,4,1
CL0096777,Sash tie floral print rayon tiered shirtdress,59.95,Dress,Rayon,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,hand wash,Brown,39,13,13,13
CL0097249,Graphic print rayon pleated sheath shirtdress,59.95,Dress,Rayon,WAYWARD FANCIES,WOVEN,Shirtdress,,Graphic,hand wash,White,56,0,39,17
CL0097282,Floral print rayon banded empire dress,64.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash,Blue,24,0,24,0
CL0097283,Floral print rayon banded empire dress,99.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash,Green,92,0,49,43
CL0097292,Floral print rayon banded empire waist dress,64.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash,Pink,61,0,47,14
CL0097318,Polka dot print rayon banded empire dress,75.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,,hand wash,Purple,71,0,50,21
CL0097874,Paisley print rayon banded empire dress,84.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash,Navy,12,0,0,12
CL0097875,Floral print rayon banded empire dress,99.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Gray,5,0,0,5
CL0089180,Marble print satin ruched keyhole front tunic,47.95,Top,Satin,Zapelle,WOVEN,,Fall Winter,,hand wash,Gray,1,0,1,0
CL0089258,Marble print satin surplice belted dress,99.95,Dress,Satin,Zapelle,WOVEN,Fit-and-flare,Fall Winter,,MACHINE WASH,Gray,6,4,2,0
CL0091505,Floral print satin ruffle flounce shift dress,99.95,Dress,Satin,Zapelle,WOVEN,Shift,,Floral,MACHINE WASH,Multi-colored,10,4,6,0
CL0091506,Floral print satin oversized shirt,49.95,Top,Satin,WAYWARD FANCIES,WOVEN,,Spring Summer,,MACHINE WASH,Multi-colored,3,2,1,0
CL0091781,Cutout front floral print satin dress,84.95,Dress,Satin,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,Floral,MACHINE WASH,Navy,1,1,0,0
CL0093656,Marble print satin ruched front kaftan,89.95,Dress,Satin,WAYWARD FANCIES,WOVEN,Shift,Fall Winter,Graphic,MACHINE WASH,Gray,2,0,1,1
CL0095798,Flutter sleeve hammered satin top,69.95,Top,Satin,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Red,14,4,8,2
CL0095813,Pintuck pleat hammered satin top,69.95,Top,Satin,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Green,8,1,6,1
CL0095806,Hammered satin flared skirt,59.95,Skirt,Satin,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Green,4,0,3,1
CL0095839,Asymmetric shoulder graphic art print satin blouso,49.95,Top,Satin,Zapelle,WOVEN,,,,MACHINE WASH,Brown,1,1,0,0
CL0095838,Abstract art print satin halter style slip dress,149.95,Dress,Satin,Zapelle,WOVEN,Shift,Fall Winter,Graphic,MACHINE WASH,Yellow,58,24,18,16
CL0095801,Cutout abstract art print satin dress,99.95,Dress,Satin,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Graphic,MACHINE WASH,Red,4,1,1,2
CL0095970,Graphic ombre print satin handkerchief hem dress,109.95,Dress,Satin,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Graphic,MACHINE WASH,Black,2,1,0,1
CL0095960,Graphic ombre print satin handkerchief hem skirt,89.95,Skirt,Satin,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Black,3,1,2,0
CL0095947,Graphic stripe print satin handkerchief hem skirt,64.95,Skirt,Satin,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Brown,4,1,2,1
CL0087963,Cotton scuba knit flared pants,65.95,Pant,Scuba,Zapelle,KNITS,,,,MACHINE WASH,Green,6,0,5,1
CL0088384,Polka dot embellished tulle and jersey knit dress,114.95,Dress,Tulle,WAYWARD FANCIES,KNITS,Fit-and-flare,Fall Winter,,hand wash,Black,11,4,3,4
CL0097396,Knot front stripe twill cotton dress,64.95,Dress,Twill,eshakti,WOVEN,Fit-and-flare,,Stripes,MACHINE WASH,Blue,22,0,4,18
CL0081432,Pintuck pleat cotton voile ruffle frill shirt,39.95,Top,Voile,Zapelle,WOVEN,,Year-Round,,MACHINE WASH,Off-white,5,1,1,3
CL0082372,Floral print cotton ruched tier sundress,77.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,Off-white,9,2,6,1
CL0082829,Ornate embroidery Egyptian Giza cotton voile draws,79.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,2,1,1,0
CL0082995,Ribbon tie floral embroidery Egyptian Giza cotton ,79.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,10,4,3,3
CL0083010,Ruffle frill Egyptian Giza cotton voile elastic he,39.95,Top,Voile,Zapelle,WOVEN,,,,MACHINE WASH,White,3,0,1,2
CL0083151,Ruched tie neck Egyptian Giza cotton voile blouse,69.95,Top,Voile,Zapelle,WOVEN,,,,MACHINE WASH,White,4,1,3,0
CL0085190,Pleated Egyptian Giza cotton voile billowy blouse,49.95,Top,Voile,Zapelle,WOVEN,,,,MACHINE WASH,White,3,1,1,1
CL0091735,Ruched Egyptian Giza cotton voile top,69.95,Top,Voile,WAYWARD FANCIES,WOVEN,,Year-Round,,MACHINE WASH,White,10,1,3,6
CL0092007,Smocked bib cotton voile trapeze dress,69.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Blue,2,2,0,0
CL0092006,Floral embroidery Egyptian Giza cotton voile blous,56.95,Top,Voile,WAYWARD FANCIES,WOVEN,,Year-Round,,MACHINE WASH,Black,5,0,0,5
CL0092192,Lace trim pleated Egyptian Giza cotton voile top,56.95,Top,Voile,WAYWARD FANCIES,WOVEN,,Year-Round,,MACHINE WASH,White,43,26,11,6
CL0092546,Ikat print cotton voile ruched dress,109.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,,MACHINE WASH,Multi-colored,7,0,0,7
CL0092663,Plunge linear graphic print cotton voile dress,99.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,Floral,MACHINE WASH,Pink,747,253,298,196
CL0092682,Scallop embroidery ikat print cotton voile shift d,89.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Shift,Spring Summer,Graphic,MACHINE WASH,Multi-colored,3,0,0,3
CL0096764,Linear graphic print cotton voile ruched peplum to,74.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Pink,27,17,7,3
CL0096768,Rose print cotton voile tunic dress,67.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,White,10,5,2,3
CL0096799,Raglan sleeve Egyptian Giza cotton voile shirt,42.95,Top,Voile,Zapelle,WOVEN,,,,MACHINE WASH,Blue,3,3,0,0
