Name,ProductPrice,ProductStyle,Fabric,Brand,FabricType,Silhouette,Season,Pattern,WashCase,ColorGroup,TotalSales,FirstMonthSale,SecondMonthSale
Obi belt cotton jersey wrap tunic,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,,,MACHINE WASH,Black,3,4,3
Tie front floral print crepe top,74.95,Top,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,Spring Summer,,MACHINE WASH,Beige,1,1,1
Pleated ombre print crepe maxi dress,89.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,,MACHINE WASH,Green,1,0,1
Watercolor floral print soft modal shirt,59.95,Top,Modal,Zapelle,WOVEN,,,,hand wash,Blue,1,0,1
Floral print sheer georgette blouse,74.95,Top,Georgette,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Yellow,1,2,1
Flared sleeve floral print georgette blouse,74.95,Top,Georgette,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,3,0,3
Single breasted genuine leather moto jacket,299.95,Jacket,Leather Genuine,Favolosa,UNASSIGNED,,,,MACHINE WASH,Off-white,1,0,1
Piped leather biker jacket,299.95,Jacket,Leather Genuine,Favolosa,UNASSIGNED,,,,MACHINE WASH,Black,4,0,4
Belted crop leather moto jacket,299.95,Jacket,Leather Genuine,Favolosa,UNASSIGNED,,,,MACHINE WASH,Brown,2,2,2
Sheepskin leather bomber jacket,249.95,Jacket,Leather Genuine,Favolosa,UNASSIGNED,,,,MACHINE WASH,Black,2,1,2
Crop leather biker jacket,299.95,Jacket,Leather Genuine,Favolosa,UNASSIGNED,,,,MACHINE WASH,Brown,1,0,1
Napa leather car coat,499.95,Jacket,Leather Genuine,Favolosa,UNASSIGNED,,,,MACHINE WASH,Black,1,0,1
Napa leather trench coat,799.95,Jacket,Leather Genuine,Favolosa,UNASSIGNED,,,,MACHINE WASH,Black,1,0,1
Straight leg sheepskin leather pants,249.95,Pant,Leather Genuine,Favolosa,UNASSIGNED,,,,MACHINE WASH,Black,1,0,1
Crop leather biker jacket,299.95,Jacket,Leather Genuine,Favolosa,WOVEN,,,,MACHINE WASH,Red,1,0,1
Belt waist sheepskin leather midi skirt,199.95,Skirt,Leather Genuine,Favolosa,WOVEN,,,,MACHINE WASH,Black,1,0,1
Crop leather biker jacket,299.95,Jacket,Leather Genuine,Favolosa,WOVEN,,,,MACHINE WASH,Black,1,0,1
Flap pocket leather snap detail jacket,299.95,Jacket,Leather Genuine,Favolosa,WOVEN,,,,MACHINE WASH,Black,1,0,1
Cotton jersey high-low hoodie tunic,69.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,Fall Winter,,MACHINE WASH,Green,1,2,1
Floral embellished deep indigo denim shirtdress,89.95,Denim Dress,Denim,WAYWARD FANCIES,WOVEN,,Fall Winter,,100% COTTON MACHINE WASH,Indigo,2,4,2
Vintage blue cotton denim shirtdress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,5,1
Deep indigo cotton denim shirtdress,74.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,0,1
Cotton denim belted shift shirtdress,79.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,4,1
Zip front cotton denim shirtdress,81.95,Denim Dress,Denim,eShakti,WOVEN,,Fall Winter,,100% COTTON MACHINE WASH,Indigo,4,17,4
Vintage wash denim button front flared skirt,79.95,Denim Skirt,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,7,1
Bird embellished poplin dress,69.95,Dress,Cotton Poplin,eShakti,WOVEN,Fit-and-flare,Year-Round,Whimsical,MACHINE WASH,Navy,8,20,8
Leafy vine embroidery poplin dress,99.95,Dress,Cotton Poplin,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,MACHINE WASH,White,1,3,1
Floral embroidered cotton poplin tunic,34.95,Top,Cotton Poplin,WAYWARD FANCIES,WOVEN,,Year-Round,,MACHINE WASH,Navy,27,17,27
Curved waist cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Green,1,4,1
Cutout back cotton knit dress,49.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Purple,4,10,4
Cotton knit cross banded waist jumpsuit,89.95,Jumpsuit,Cotton Jersey Knit,eshakti,KNITS,,Year-Round,,MACHINE WASH,Black,9,3,9
Fit-and-flare cotton knit dress,64.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Purple,1,8,1
Floral embroidered cotton knit smocked waist dress,104.95,Dress,Cotton Jersey Knit,WAYWARD FANCIES,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Navy,1,4,1
Curved waist cotton jersey dress,59.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Blue,5,14,5
Vintage wash denim crop jacket,79.95,Denim Jacket,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,1,2,1
Deep indigo denim button jumper dress,84.95,Denim Skirt,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,5,1
Notch collar denim jumper dress,79.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,3,5,3
Boot-cut light indigo denim jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Blue,2,1,2
Boot-cut medium blue denim jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90% cotton 7% polyamide 3% spandexmachine wash col,Blue,2,5,2
Vintage wash denim flare jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,2,3,2
Medium blue denim flare jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Blue,4,1,4
Vintage indigo blue flare jeans,59.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,1,0,1
Vintage blue cotton denim palazzo pants,99.95,Jeans,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,2,3,2
Vintage indigo cotton denim tunic,54.95,Denim Shirts,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,2,8,2
Vintage blue cotton denim shirtdress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,6,7,6
Light indigo denim midi wrap dress,74.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,0,1
Deep indigo cotton denim midi shirtdress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,2,5,2
Ruched cotton denim tiered dress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,2,1
High waist ankle skinny jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90% cotton 7% polyamide 3% spandexmachine wash col,Black,1,4,1
Cotton denim shift shirtdress,69.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,10,18,10
Cotton denim baggy wide leg jeans,99.95,Jeans,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,2,1
Ruffle handkerchief hem cotton denim trapeze dress,76.95,Denim Dress,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,1,2,1
Cotton denim peplum tunic shirt,79.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,2,3,2
Pleated cotton denim tunic shirt,59.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,3,11,3
Cotton denim oversized shirt,99.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,11,1
Pieced cotton denim A-line dress,79.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,4,9,4
Button front cotton denim jumpsuit,79.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,0,1
Notch neck surplice cotton denim jumpsuit,59.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,13,18,13
Medium indigo cotton denim shirt,79.95,Denim Shirts,Denim,Zapelle,WOVEN,,Year-Round,,MACHINE WASH,Indigo,4,3,4
High waist wide leg cotton denim jeans,59.95,Jeans,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,2,8,2
Pieced cotton denim jumper,89.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,2,6,2
Cotton denim open front duster jacket,79.95,Denim Jacket,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,3,1,3
Cotton denim button front duster jacket,79.95,Denim Jacket,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,1,5,1
Cotton denim A-line shirtdress,79.95,Denim Dress,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,2,1
Zip front herringbone cotton denim palazzo overall,69.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,Spring Summer,,MACHINE WASH,Indigo,4,11,4
Medium wash denim bootcut jeans,67.95,Jeans,Denim,Zapelle,WOVEN,,Fall Winter,,73%Cotton 23%Polyester 4%Spandex,Indigo,4,14,4
Faux-button front floral print cotton denim skirt,79.95,Denim Skirt,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,0,1
Faux-button front floral tile print cotton denim s,79.95,Denim Skirt,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Blue,4,0,4
Floral tile print cotton denim crop shirt,59.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,1,1,1
Ruffle cotton denim oversized shirt,89.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,hand wash,Indigo,3,4,3
Belted high waist cotton denim shirtdress,89.95,Denim Dress,Denim,Zapelle,WOVEN,,,,hand wash,Indigo,8,0,8
Floral print cotton denim oversized shirt,89.95,Denim Shirts,Denim,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,2,0,2
Cotton denim crop jumpsuit,89.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,,,hand wash,Navy,2,0,2
Floral print rayon banded empire waist dress,64.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash,Pink,5,9,5
Paisley print rayon banded empire dress,84.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash,Navy,9,40,9
Floral print rayon banded empire dress,99.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Gray,5,21,5
Dot print rayon elastic empire dress,89.95,Dress,Rayon,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,hand wash,Red,4,0,4
Tie waist back graphic stripe print rayon empire d,64.95,Dress,Rayon,Zapelle,WOVEN,Fit-and-flare,,Stripes,MACHINE WASH,Black,1,0,1
Dot print rayon smocked empire dress,59.95,Dress,Rayon,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,hand wash,Blue,1,7,1
Marble print satin surplice belted dress,99.95,Dress,Satin,Zapelle,WOVEN,Fit-and-flare,Fall Winter,,MACHINE WASH,Gray,1,0,1
Floral print satin ruffle flounce shift dress,99.95,Dress,Satin,Zapelle,WOVEN,Shift,,Floral,MACHINE WASH,Multi-colored,1,2,1
Abstract art print satin halter style slip dress,149.95,Dress,Satin,Zapelle,WOVEN,Shift,Fall Winter,Graphic,MACHINE WASH,Yellow,1,16,1
Cutout abstract art print satin dress,99.95,Dress,Satin,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Graphic,MACHINE WASH,Red,2,0,2
Graphic embroidery tulle overlay floral print crep,119.95,Dress,Tulle,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Black,1,1,1
Floral print cotton ruched tier sundress,77.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,Off-white,11,9,11
Pleated lemon print cotton voile dress,84.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,MACHINE WASH,White,6,0,6
Ribbon tie floral embroidery Egyptian Giza cotton ,79.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,2,3,2
Ruffle frill Egyptian Giza cotton voile elastic he,39.95,Top,Voile,Zapelle,WOVEN,,,,MACHINE WASH,White,1,0,1
Ruched tie neck Egyptian Giza cotton voile blouse,69.95,Top,Voile,Zapelle,WOVEN,,,,MACHINE WASH,White,1,1,1
Pintuck pleat Egyptian Giza cotton voile tunic shi,49.95,Top,Voile,Zapelle,WOVEN,,Year-Round,,MACHINE WASH,Black,1,1,1
Ruched Egyptian Giza cotton voile top,69.95,Top,Voile,WAYWARD FANCIES,WOVEN,,Year-Round,,MACHINE WASH,White,2,9,2
Floral embroidery Egyptian Giza cotton voile blous,56.95,Top,Voile,WAYWARD FANCIES,WOVEN,,Year-Round,,MACHINE WASH,Black,1,2,1
Lace trim pleated Egyptian Giza cotton voile top,56.95,Top,Voile,WAYWARD FANCIES,WOVEN,,Year-Round,,MACHINE WASH,White,8,10,8
Ikat print cotton voile ruched dress,109.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,,MACHINE WASH,Multi-colored,3,1,3
Plunge linear graphic print cotton voile dress,99.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,Floral,MACHINE WASH,Pink,38,100,38
Scallop embroidery ikat print cotton voile shift d,89.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Shift,Spring Summer,Graphic,MACHINE WASH,Multi-colored,7,9,7
Linear graphic print cotton voile ruched peplum to,74.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Pink,4,7,4
Rose print cotton voile tunic dress,67.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,White,2,3,2
Rose print cotton voile banded empire dress,94.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,White,6,1,6
Linear floral print cotton voile ruched tier dress,89.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Pink,5,6,5
Linear floral graphic print cotton voile chelsea d,76.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Pink,5,13,5
Ruched yoke Egyptian Giza cotton voile shirt,69.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,2,0,2
Ruched yoke rose print cotton voile shirt,54.95,Top,Voile,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,White,2,2,2
Plunge ikat print cotton voile dress,74.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Graphic,MACHINE WASH,Red,3,6,3
Ikat print cotton voile tiered trapeze dress,79.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Shirtdress,,Graphic,MACHINE WASH,Red,1,7,1
Floral embroidery Giza cotton voile tiered dress,99.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Shift,,,MACHINE WASH,White,1,0,1
Floral embroidery Giza cotton voile tiered dress,109.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Shift,,,MACHINE WASH,Black,3,0,3
Floral embroidery Giza cotton voile tiered dress,109.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Shift,,,MACHINE WASH,Blue,4,1,4
Graphic embroidery Giza cotton voile tiered dress,109.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,MACHINE WASH,White,1,2,1
Ruched lemon print cotton poplin shirtdress,79.95,Dress,Cotton,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Blue,17,72,17
Lemon print cotton poplin smocked empire dress,64.95,Dress,Cotton,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Blue,1,3,1
Floral print cotton poplin A-line dress,54.95,Dress,Cotton,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Red,13,16,13
Floral print cotton poplin Chelsea dress,69.95,Dress,Cotton,eshakti,WOVEN,,Sale,,MACHINE WASH,Blue,38,21,38
Floral cotton eyelet ruched bib top,89.95,Top,Eyelet,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,2,4,2
Stripe print cotton sateen release pleat shirtdres,79.95,Dress,Sateen,Zapelle,WOVEN,Shirtdress,,Stripes,MACHINE WASH,Black,2,7,2
Tie waist back abstract art print cotton sateen em,89.95,Dress,Sateen,Zapelle,WOVEN,Fit-and-flare,,Graphic,MACHINE WASH,Blue,2,6,2
Floral embroidery pintuck pleat cotton sateen tuni,77.95,Top,Sateen,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Green,2,0,2
Floral embroidery pintuck pleat cotton sateen tuni,77.95,Top,Sateen,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Orange,1,0,1
Dolman sleeve cotton modal sweater,69.95,Top,Tencel,Zapelle,KNITS,,Fall Winter,,Hand wash coldFlat Dry,Blue,1,4,1
Sash tie dupioni maxi skirt,44.95,Skirt,Dupioni,eShakti,WOVEN,,Year-Round,,DRY CLEAN,Black,3,8,3
Floral print dupioni mixed media maxi dress,119.95,Dress,Dupioni,eshakti,WOVEN,,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Pink,4,4,4
Plunge rose print dupioni dress,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,hand wash or machine wash cold drip dry iron low w,White,2,3,2
Rose bouquet print dupioni belted dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,hand wash or machine wash cold drip dry iron low w,White,2,1,2
Dupioni belted fit-and-flare dress,89.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,White,1,4,1
Surplice dupioni tea length dress,89.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,White,5,3,5
Shoulder bow-ties dupioni dress,89.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,White,2,9,2
Sash tie rose print trapunto hem dupioni maxi skir,89.95,Skirt,Dupioni,WAYWARD FANCIES,WOVEN,,,,hand wash or machine wash cold drip dry iron low w,Black,2,4,2
Surplice floral print dupioni maxi dress,109.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Violet,3,1,3
Jasmine dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Green,7,5,7
Plunge dupioni maxi dress,104.95,Dress,Dupioni,eShakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Navy,1,6,1
Jasmine dress,104.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Navy,1,5,1
Sash tie dupioni midi dress,99.95,Dress,Dupioni,NEWBURY STREET,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,White,15,16,15
Asymmetric wrap skirted dupioni dress,99.95,Dress,Dupioni,eShakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,1,2,1
Plunge dupioni maxi dress,99.95,Dress,Dupioni,NEWBURY STREET,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,White,1,6,1
Plunge rose print dupioni dress,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Black,3,5,3
Rose print dupioni belted dress,139.95,Dress,Dupioni,eShakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Black,5,11,5
Quincy dupioni dress,129.95,Dress,Dupioni,eShakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,2,13,2
Floral print dupioni banded empire dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,hand wash or machine wash cold drip dry iron low w,Blue,1,3,1
Floral print dupioni pleat waist dress,74.95,Dress,Dupioni,eshakti,WOVEN,,,,hand wash or machine wash cold drip dry iron low w,Orange,3,7,3
Floral print dupioni empire maxi dress,84.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,,hand wash or machine wash cold drip dry iron low w,Red,2,6,2
Floral print dupioni sash-tie shirtdress,99.95,Dress,Dupioni,eshakti,WOVEN,,,,hand wash or machine wash cold drip dry iron low w,Orange,1,5,1
Floral print trapunto hem dupioni dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,,hand wash or machine wash cold drip dry iron low w,Red,4,4,4
Rose print dupioni surplice dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,3,2,3
Mesh trim hem poly dupioni empire dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Navy,2,12,2
Puff sleeve dupioni strapless maxi dress,119.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Navy,1,4,1
Floral print dupioni sash-tie shirtdress,99.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,Floral,hand wash or machine wash cold drip dry iron low w,Green,2,1,2
Plunge rose print dupioni dress,119.95,Dress,Dupioni,NEWBURY STREET,WOVEN,Fit-and-flare,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Red,3,16,3
Rose print dupioni banded empire dress,119.95,Dress,Dupioni,WAYWARD FANCIES,WOVEN,A-Line,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Red,3,4,3
Dupioni sash-tie maxi dress,104.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,3,14,3
Jersey knit and floral print dupioni maxi dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Pink,1,0,1
Placed floral print dupioni dress,119.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Navy,25,63,25
Jersey knit and ombre print dupioni maxi dress,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Blue,1,8,1
Ombre print dupioni belted dress,119.95,Dress,Dupioni,eshakti,WOVEN,,,,hand wash or machine wash cold drip dry iron low w,Off-white,1,6,1
Jersey knit and banded stripe colorblock dupioni d,109.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Black,2,1,2
Floral print dupioni faux wrap skirt,89.95,Skirt,Dupioni,WAYWARD FANCIES,WOVEN,,Fall Winter,,hand wash or machine wash cold drip dry iron low w,Green,3,5,3
Pleat waist dupioni midi dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,1,1,1
Check print dupioni peplum top,74.95,Top,Dupioni,WAYWARD FANCIES,WOVEN,,Spring Summer,,hand wash or machine wash cold drip dry iron low w,Pink,1,1,1
Poly dupioni surplice dress,109.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Navy,1,3,1
Poly dupioni surplice dress,109.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Year-Round,,hand wash or machine wash cold drip dry iron low w,Black,2,1,2
Floral butterfly print trapunto hem dupioni dress,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Off-white,4,14,4
Plunge floral bouquet print dupioni dress,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Navy,4,12,4
Floral print dupioni pleated empire dress,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Green,2,9,2
Plunge rose bouquet print dupioni banded empire dr,129.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Fall Winter,Floral,hand wash or machine wash cold drip dry iron low w,Blue,13,29,13
Quincy dress,99.95,Dress,Dupioni,eshakti,WOVEN,,,,hand wash or machine wash cold drip dry iron low w,Green,1,3,1
Quincy dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,Spring Summer,Floral,hand wash or machine wash cold drip dry iron low w,Orange,2,6,2
Quincy dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Pink,3,3,3
Quincy dress,139.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash or machine wash cold drip dry iron low w,Green,5,18,5
Ombre print dupioni belted dress,104.95,Dress,Dupioni,eshakti,WOVEN,,,,hand wash or machine wash cold drip dry iron low w,Purple,1,2,1
